term,reading,meaning,pos,source_scope,source_type,difficulty,notes
abbreviation,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
abide,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
abnormal,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
abort,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
abreast,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
abrupt,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
absurd,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
accessory,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
acclaim,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
activate,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
acupuncture,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
adhere,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
adjacent,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
adolescent,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
adore,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
advent,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
adversary,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
adverse,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
aesthetic,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
affiliate,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
affirm,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
affix,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
afloat,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
aftermath,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
aggravate,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
aggregate,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
agitate,,,,cet6,official_syllabus_2016,3,全国大学英语四、六级考试大纲（2016年修订版）词表；★标为六级词。
