pattern,meaning_cn,core_usage,example,source_scope,source_type,difficulty,confusable_with,notes
～あいだ（に）,时间范围、期间,时间范围、期间,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第1项
～あと（で）,时间点、之后,时间点、之后,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第2项
～あまり,程度极端,程度极端,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第3项
あまり～ない,程度（低）,程度（低）,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第4项
～以上/～以上は,既然，确定条件,既然，确定条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第5项
～一方/～一方で/～一方では,对比、对立,对比、对立,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第6项
～一方だ,状况加深、加重,状况加深、加重,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第7项
～うえ/～うえに,累加,累加,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第8项
～上で/～上の/～上でも/～上での,先行依据；必要条件,先行依据；必要条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第9项
～う（よう）,意志；推测；劝诱,意志；推测；劝诱,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第10项
～うちに/～ないうちに,时间范围,时间范围,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第11项
～うではないか（じゃないか）,劝诱,劝诱,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第12项
～う（よう）と思う,意志,意志,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第13项
～う（よう）とする,意志,意志,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第14项
お（ご）～,尊敬语；美化语,尊敬语；美化语,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第15项
お（ご）～する（いたす）,自谦语全国大学日语四、六级考试大纲,自谦语全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第16项
お（ご）～ください,尊敬语,尊敬语,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第17项
お（ご）～です,尊敬语,尊敬语,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第18项
お（ご）～になる,尊敬语,尊敬语,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第19项
～おかげで/～おかげだ,（受恩惠的）原因、理由,（受恩惠的）原因、理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第20项
～おそれがある,（担忧性）推测,（担忧性）推测,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第21项
～か,疑问,疑问,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第22项
～か,不确定,不确定,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第23项
～か,选择性并列,选择性并列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第24项
が,主语；对象,主语；对象,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第25项
～が,转折；顺接,转折；顺接,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第26项
～かぎり/～かぎりは/～かぎりでは/～ないかぎり,条件，范围,条件，范围,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第27项
～かしら,（女性）疑问,（女性）疑问,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第28项
～がたい,难以，不可能,难以，不可能,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第29项
～がちだ/～がちの,（负面的）倾向,（负面的）倾向,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第30项
～かどうか,选择疑问,选择疑问,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第31项
～かと思うと/～かと思ったら/～と思うと/～と思ったら,同时,同时,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第32项
～かな,疑问；感叹；愿望,疑问；感叹；愿望,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第33项
～かねる,困难，不可能,困难，不可能,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第34项
～かねない,可能性，危险性,可能性，危险性,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第35项
～かのようだ,类似全国大学日语四、六级考试大纲,类似全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第36项
～がほしい,希望得到,希望得到,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第37项
～かもしれない,推测,推测,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第38项
から,起点,起点,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第39项
～から,原因,原因,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第40项
～から～にかけて,时间带或空间范围,时间带或空间范围,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第41项
～からいうと/～からいえば/～からいって,立场，判断依据,立场，判断依据,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第42项
～からして/～からすると/～からすれば,判断依据,判断依据,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第43项
～からといって,（不能成立的）原因，理由,（不能成立的）原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第44项
～からには/～からは,原因，理由,原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第45项
～から見ると/～から見れば/～から見て/～から見ても,判断的视角，立场,判断的视角，立场,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第46项
～かわりに,替代；交换；补偿,替代；交换；补偿,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第47项
～くせに/～くせして,逆接，责怪，蔑视，排斥,逆接，责怪，蔑视，排斥,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第48项
～くらい（ぐらい）,概数；程度；比较,概数；程度；比较,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第49项
～けれども,转折；顺接,转折；顺接,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第50项
～こそ,强调,强调,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第51项
こそあど,指示词系列,指示词系列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第52项
～こと,形式名词,形式名词,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第53项
～ことか,感叹,感叹,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第54项
～ことがある,频度全国大学日语四、六级考试大纲,频度全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第55项
～ことができる,可能,可能,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第56项
～ことだ,列举；强调；忠告，命令；感叹,列举；强调；忠告，命令；感叹,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第57项
～ことだから,（特定的）原因，理由,（特定的）原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第58项
～ことにする,决定（主观）,决定（主观）,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第59项
～ことになっている/～こととなっている,预定；规定；惯例,预定；规定；惯例,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第60项
～ことになる,决定（客观）,决定（客观）,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第61项
～ことはない,不会，不必要,不会，不必要,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第62项
～さえ/～でさえ/,提示极端事例,提示极端事例,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第63项
～さえ～ば,充分条件,充分条件,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第64项
～ざるをえない,不得已,不得已,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第65项
～し,并列,并列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第66项
～しか～ない,限定,限定,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第67项
～次第,（动作结束后）立即,（动作结束后）立即,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第68项
～次第だ/～次第で/～次第では,经过；原委；视情形决定,经过；原委；视情形决定,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第69项
～すぎる,该事物超过某种程度,该事物超过某种程度,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第70项
～ずつ,比例,比例,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第71项
～ず（ない）にはいられない,自发，必然,自发，必然,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第72项
～すら,强调极端事项；举一个类推其他,强调极端事项；举一个类推其他,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第73项
～せいだ/～せいで/～せいか,（带来消极后果的）原因，理由,（带来消极后果的）原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第74项
～（さ）せられる,使役被动,使役被动,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第75项
～（さ）せる,使役全国大学日语四、六级考试大纲,使役全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第76项
～そうだ,传闻,传闻,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第77项
～そうだ,样态,样态,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第78项
～た,过去；完成,过去；完成,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第79项
～だ,判断（普通体）,判断（普通体）,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第80项
～たあとで,动作先后顺序,动作先后顺序,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第81项
～たい,愿望,愿望,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第82项
～たがる,（第三人称）愿望,（第三人称）愿望,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第83项
～たきり/～たきりだ,最后一次,最后一次,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第84项
～だけ,限定；程度,限定；程度,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第85项
～だけあって/～だけに/～だけの,相应的程度；原因，理由,相应的程度；原因，理由,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第86项
～だけでなく～も,添加，递进,添加，递进,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第87项
～たことがある,经验，经历,经验，经历,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第88项
～だす,开始做某事；让某种迹象出现,开始做某事；让某种迹象出现,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第89项
～たとえ（たとい）～ても,让步条件,让步条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第90项
～たところ,偶然的契机，发现,偶然的契机，发现,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第91项
～たとたん/～たとたんに,突发，偶发,突发，偶发,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第92项
～たばかりだ,刚刚结束,刚刚结束,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第93项
～たび/～たびに,频度，反复发生,频度，反复发生,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第94项
～たほうがいい,建议,建议,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第95项
～ために,目的；原因,目的；原因,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第96项
～たら,条件,条件,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第97项
～だらけ,数量多全国大学日语四、六级考试大纲,数量多全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第98项
～たり,交替；并列,交替；并列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第99项
～だろう（と思う）,推测,推测,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第100项
～ついでに,顺便,顺便,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第101项
～つつある,动作、行为的进行或持续,动作、行为的进行或持续,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第102项
～っぽい,接近某种性质；有某种倾向,接近某种性质；有某种倾向,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第103项
～つもりだ,意向,意向,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第104项
～て,先后；并列；理由,先后；并列；理由,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第105项
で,场所；工具；方法；材料；范围；理由,场所；工具；方法；材料；范围；理由,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第106项
～てあげる,授受关系,授受关系,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第107项
～てある,动作、行为结果的存续,动作、行为结果的存续,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第108项
～である,判断（书面体）,判断（书面体）,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第109项
～ていく,由近及远的移动或趋向,由近及远的移动或趋向,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第110项
～ていただく,授受关系,授受关系,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第111项
～て以来,发生至今的持续,发生至今的持续,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第112项
～ている,动作、行为的进行或持续；状态的存续；动作的结果；动作、行为的反复,动作、行为的进行或持续；状态的存续；动作的结果；动作、行为的反复,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第113项
～ておく,预先做好准备,预先做好准备,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第114项
～てから,先后顺序,先后顺序,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第115项
～てからでないと/～てからでなければ,必备条件,必备条件,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第116项
～てください,请求；命令,请求；命令,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第117项
～てくださる,授受关系全国大学日语四、六级考试大纲,授受关系全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第118项
～てくる,由远及近的移动或趋向,由远及近的移动或趋向,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第119项
～てくれる,授受关系,授受关系,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第120项
～でございます,郑重语,郑重语,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第121项
～てしまう,动作完成；遗憾、惋惜,动作完成；遗憾、惋惜,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第122项
～てしようがない,强烈的情感,强烈的情感,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第123项
～です,判断（礼貌体）；礼貌体,判断（礼貌体）；礼貌体,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第124项
～てたまらない,强烈的情感,强烈的情感,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第125项
～てならない,强烈的情感,强烈的情感,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第126项
～てはいけない,禁止,禁止,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第127项
～てはならない,禁止,禁止,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第128项
～てほしい,愿望，要求,愿望，要求,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第129项
～てはじめて,经历了某种事情后得到的认识,经历了某种事情后得到的认识,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第130项
～てみる,尝试,尝试,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第131项
～ても（でも）,转折、让步条件,转折、让步条件,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第132项
～でも,举例；转折、让步条件,举例；转折、让步条件,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第133项
～てもいい,许可；让步,许可；让步,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第134项
～てもかまわない,许可；让步,许可；让步,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第135项
～てもらう,授受关系,授受关系,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第136项
～てやる,授受关系,授受关系,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第137项
と,对象；共同动作者；结果；引用,对象；共同动作者；结果；引用,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第138项
と,并列,并列,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第139项
～と,条件全国大学日语四、六级考试大纲,条件全国大学日语四、六级考试大纲,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第140项
～と～と（では）どちらが,比较选择,比较选择,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第141项
～という～,内容,内容,,cjt4,official_syllabus_2023,2,,官方大学日语大纲语法项目表，第142项
～ということだ,引用；传闻,引用；传闻,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第143项
～というと/～といえば/～といったら,引出话题；话题提示,引出话题；话题提示,,cjt4,official_syllabus_2023,4,,官方大学日语大纲语法项目表，第144项
