term,reading,meaning,pos,source_scope,source_type,difficulty,notes
明らか,あきらか,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
ああ,ああ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
諦める,あきらめる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
愛,あい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
飽きる,あきる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
相変わらず,あいかわらず,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
呆れる,あきれる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
挨拶,あいさつ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
開く,あく,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
相性,あいしょう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
空く,あく,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
愛情,あいじょう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
握手,あくしゅ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
合図,あいず,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
accessory,アクセサリー,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
ice cream,アイスクリーム,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
accent,アクセント,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
間,あいだ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あくび,あくび,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
相手,あいて,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あくまで,あくまで,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
idea,アイディア,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
開ける,あける,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
idol,アイドル,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
明ける,あける,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
生憎,あいにく,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
上,あげる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
曖昧,あいまい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
憧れる,あこがれる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
朝,あさ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
浅い,あさい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
朝ご飯,あさごはん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
会う,あう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あさって,あさって,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
合う,あう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
足,あし,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
遭う,あう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
味,あじ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
out,アウト,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
足跡,あしあと,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
青,あお,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あした,あした,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
青い,あおい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
足元,あしもと,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
赤,あか,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
味わう,あじわう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
赤い,あかい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
明日,あす,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
赤ちゃん,あかちゃん,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
預かる,あずかる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
明かり,あかり,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
預ける,あずける,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
上がる,あがる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
汗,あせ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
明るい,あかるい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あそこ,あそこ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
赤ん坊,あかんぼう,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
遊ぶ,あそぶ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
秋,あき,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
与える,あたえる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
暖,あたたかい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
溢れる,あふれる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
暖まる,あたたまる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
廿い,あまい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
暖める,あたためる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
廿える,あまえる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
頭,あたま,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
amateur,アマチュア,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
新しい,あたらしい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
廿やかす,あまやかす,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
辺り,あたり,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あまり,あまり,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
当たり前,あたりまえ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
余る,あまる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
当たる,あたる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
網,あみ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あちこち,あちこち,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
編み物,あみもの,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あちら・あっち,あちら・あっち,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
編む,あむ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あっ,あっ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
雨,あめ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
厚い,あつい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
飴,あめ,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
熱い,あつい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
怪しい,あやしい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
暑い,あつい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
謝る,あやまる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
扱う,あつかう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
誤る,あやまる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
upload,アップロード,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あら,あら,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
厚かましい,あつかましい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
粗い,あらい,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あっさり,あっさり,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
洗う,あらう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
集まる,あつまる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
予め,あらかじめ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
集める,あつめる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
嵐,あらし,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
宛名,あてな,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
粗筋,あらすじ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
当てはまる,あてはまる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
争う,あらそう,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
当てはめる,あてはめる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
新た,あらた,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
当てる,あてる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
改まる,あらたまる,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
後,あと,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
改めて,あらためて,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
跡,あと,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
改める,あらためる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
advice,アドバイス,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
あらゆる,あらゆる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
address,アドレス,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
表わす,あらわす,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
穴,あな,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
表れる,あらわれる,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
announcer,アナウンサー,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
有り難い,ありがたい,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あなた,あなた,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
ある,ある,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
兄,あに,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
或る,ある,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
animation,アニメ,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
或いは,あるいは,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
姉,あね,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
歩く,あるく,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
あの,あの,,,cjt4,official_syllabus_2023,2,官方大学日语大纲词汇表；* 为四/六级1-4级重点词汇
荷 alcohol,アルコール,,,cjt4,official_syllabus_2023,4,官方大学日语大纲词汇表；发展目标词汇
