term,reading,meaning,pos,source_scope,source_type,difficulty,notes
a (an),,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
abandon,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
ability,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
able,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
abnormal,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
aboard,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
about,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
above,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
abroad,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
absence,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
absent,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
absolutely,,,,gaokao-english,official_curriculum_2020,2,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
absorb,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
abstract,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
abuse,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
academic,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
accent,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
accept,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
access,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
accident,,,,gaokao-english,official_curriculum_2020,2,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
accommodation,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
accompany,,,,gaokao-english,official_curriculum_2020,3,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
according to,,,,gaokao-english,official_curriculum_2020,1,普通高中英语课程标准（2017年版2020年修订）附录2词汇表；*为必修新增，**为选择性必修新增。
