serial,term,reading,meaning,pos,source_scope,source_type,notes
1,間,あいだ,[名] 间隔，空档，缝隙；间，中间；期间，时候，工夫；关系；开间，空隙，缝隙,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
1,過ぎる,すぎる,[自动·一段] 过，经过；时间流逝，过，过去，逝去；消逝；超过；过度；过分； 开外；仅仅，只不过；过度；过分；过多；太，过,自动·一段,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
1,費用,ひよう,[名] 费用，开支，经费,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
2,アイスクリーム,あいすくりーむ,[名] ice cream冰激凌，冰淇林，冰糕，雪糕『方』,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
2,好き嫌い,すききらい,[名·他动·サ变] 好恶，喜好和厌恶；挑肥拣瘦，挑拣，挑剔,名·他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
2,美容院,びよういん,[名] 美容院，美发店,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
3,合図,あいず,[名·自他动·サ变] 信号。暗号。用预先约定好的方法将意见或事情通知给对方， 亦指其方法或信号,名·自他动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
3,スカート,すかーと,"[名] skirt裙子；（汽车、火车、电车前部排除障碍物的）铁板, 保险杠",名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1001~2000.pdf
3,紐,ひも,[名] 细绳；带（子）；带；ひも按由细到粗的顺序可以是“线”“细绳”“粗 绳”“索或绳”“缆”；条件；情夫,名,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 2001~2289.pdf
4,挨拶,あいさつ,[名·自动·サ变] 寒暄语与人见面或分别等时的寒暄及其礼貌动作打招呼；（仪式 等的）贺辞或谢辞；回答，回话；对对方的态度表示无可奈何时讥讽的说法；（对 争议的）仲裁调解斡旋；惯用语,名·自动·サ变,gaokao,moji_pdf,来源：MOJi辞書 - 高考大纲词汇 1~1000.pdf
