term,reading,meaning,pos,source_scope,source_type,difficulty,notes
合図,あいず,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
アイドル,アイドル,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
合う,あう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
上がる,あがる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
諦める,あきらめる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
朝寝坊,あさねぼう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
預かる,あずかる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
温める,あたためる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
扱う,あつかう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
あっさり,あっさり,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
当てる,あてる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
アドバイス,アドバイス,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
穴,あな,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
浴びる,あびる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
油,あぶら,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
謝る,あやまる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
粗筋,あらすじ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
争う,あらそう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
新た,あらた,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
改める,あらためる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
表す,あらわす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
表れる,あらわれる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
合わせる,あわせる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
慌てる,あわてる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
アンケート,アンケート,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
安心,あんしん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
安全,あんぜん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
案内,あんない,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
胃,い,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
以下,いか,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
意義,いぎ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
勢い,いきおい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
